TaskA3: All Temperature Data that is between -10.0 and 50.0 degrees Celcius in United States
Temperature(C), Year, Month, Country, Country_Code
20.26(C) 68.46(F), 2001, Jul, United States, USA
20.31(C) 68.56(F), 2004, Jul, United States, USA
20.44(C) 68.78(F), 2010, Jul, United States, USA
20.51(C) 68.92(F), 2007, Aug, United States, USA
20.54(C) 68.98(F), 2015, Jul, United States, USA
20.69(C) 69.25(F), 2013, Jul, United States, USA
20.87(C) 69.57(F), 2003, Jul, United States, USA
20.91(C) 69.63(F), 2007, Jul, United States, USA
20.92(C) 69.66(F), 2005, Jul, United States, USA
20.96(C) 69.72(F), 2002, Jul, United States, USA
21.06(C) 69.9(F), 2011, Jul, United States, USA
21.2(C) 70.15(F), 2016, Jul, United States, USA
21.32(C) 70.38(F), 2006, Jul, United States, USA
21.37(C) 70.47(F), 2012, Jul, United States, USA

